"","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"10",56530.65,57983.01,59933.5,61807.05,62372.63,61671.39,60997.89,60195.29,60154.01,62540.91,65458.68,66122.01,64993.83,63846.73,63525.72,63045.47,62273.25,62176.11,61795.83,60720.3,58662.57,55687.48,53721.2,52997.95,53304.66,55034.79,57031.89,58480.26,59780.68,61660.07,65471.65,69461.66,73169.26,78928.53,83711.31,90872.83,100078.58,101408.01,100156.73,102311.34,104406.34,106208.83,107804.68,108652.61,110535.65,113839.68,116853.3,119834.32,122913.37,126835.19,131543.25,133501.15,132757.02,130435.94,126790.01,124995.83,125853.76,128602.19,132211.27,136539.57,141346.37,141481,136790.14,131963.6,127972.06,124925.77,123498.46,123671.76,124465.57,126286.83,128972.91,130877.35,131994.79,132257.75,132386.19,132765.96,132762.92,133317.62,135254.97,137939.22,139776.33,140252.02,140326.68,140615.08,140434.97,139531.02,139027.66,139286.03,139892.86,140596.5,140943.97
"11",55282.14,56555.51,58158.11,60158.71,62057.06,62622.62,61921.4,61197.49,60294.92,60178.84,62540.99,65433.47,66046.81,64919.02,63821.95,63500.51,62970.28,62223.64,62201.31,61820.61,60720.29,58662.64,55687.51,53721.19,52997.96,53304.64,55085.23,57283.15,59031.51,60556.28,62484.77,66170.77,69986.03,73694.75,79629.4,84511.35,91647.66,100828.55,102183.2,100956.77,103010.53,104930.69,106759.69,108555.51,109705.26,111768.47,114858.53,117758.99,120960.99,124868.71,129360.32,133093.46,134130.92,133398.12,130943.79,127037.54,125350.96,126329.72,129085.16,132912.86,137595.5,142564.62,142526.97,137597.69,132680.57,128841.11,126148.42,124948.67,125082.13,125661.23,127077.62,129426.93,131306.53,132505.63,132814.26,132961.53,133460.45,133593.84,134174.26,136115.38,138759.04,140557.54,141060.18,141170.39,141539.46,141541.1,140833.67,140439.4,140633.94,141017.55,141670.12
"12",53824.53,55306.28,56730.7,58383.42,60433.94,62357.06,62922.65,62171,61296.68,60244.54,60078.85,62466.18,65383.48,65971.58,64819.03,63721.94,63425.74,62945.48,62198.45,62151.31,61795.82,60695.09,58587.41,55612.73,53671.19,52947.96,53305.07,55261.3,57759.62,59757.09,61305.91,63109.18,66695.6,70561.66,74420.43,80404.18,85236.12,92372.88,101603.76,102958.01,101605.97,103535.39,105506.38,107485.36,109578.86,110858.06,112625.53,115653.33,118806.96,122889.49,127456.23,131001.67,133841.7,134742.98,133886.82,131462.18,127625.07,125878.51,126817.82,129740.09,133905.76,138714.53,143461.87,143312.89,138487.4,133644.23,129949.37,127497.88,126337.13,126279.06,126658.44,127720.25,129766.34,131792.07,133199,133575.03,133738.68,134268.58,134481.04,135116.16,137139.51,139797.25,141481.89,141919.09,142058.65,142544.25,142776.86,142222.17,141752.27,141759.29,142121.42
"13",52499.42,53857.11,55431.08,56855.9,58533.38,60583.95,62557.48,63122.22,62245.38,61271.5,60194.54,60054.07,62466.15,65383.47,65946.41,64769.02,63697.16,63425.76,62895.07,62098.44,62076.49,61720.6,60620.3,58562.69,55562.35,53571.19,52948.78,53531.07,55737.3,58410.05,60457.17,61980.69,63708.78,67270.86,71212.07,75095.21,81003.76,85786.18,92998.44,102354.27,103632.01,102080.3,104010.95,106132.07,108413.74,110647.39,111578.65,113210.1,116562,120637.52,125228.4,128770.72,131619.34,134542.78,135234.52,134082.88,131657.84,128025.82,126376.35,127431.04,130540.22,134772,139458.69,144107.63,144152.67,139555.8,134776.58,131168.46,128782.65,127512.65,127130.24,127211.54,128089.63,130114.27,132412.42,133857.31,134058.33,134339.5,135062.02,135429.82,136162.78,138186.64,140790.79,142389.67,142852.5,143022.3,143574.04,143991.25,143466.3,142861.21,142832.72
"14",51546.16,52555.4,54031.89,55606.32,57055.95,58758.72,60833.94,62731.88,63197.01,62295.41,61271.11,60144.54,60029.28,62441.14,65308.29,65871.65,64719.04,63647.17,63400.95,62895.07,62073.24,62026.53,61670.59,60545.15,58462.69,55487.55,53571.61,53099.61,53957.51,56413,59109.66,61031.52,62455.56,64234.45,67921.25,71861.7,75670.1,81578.92,86411.39,93698.88,103028.67,104156.38,102580.82,104636.73,107021.36,109378.13,111237.51,111963.15,113796.86,118075.35,122687.02,126141.02,128942.27,132099.71,135063.68,135511.77,134193.17,131833.25,128446.28,127026.83,128322.61,131440.35,135381,139995.64,144851.05,145040.07,140465.87,135871.12,132422.11,129906.02,128389.28,127665.59,127564.25,128478.33,130637.78,132927.05,134046.48,134289.74,134939.51,135893.87,136376.36,137056.77,139046.8,141675.88,143300.68,143772.98,143913.52,144596.37,145138.46,144562.99,143960.55
"15",50697.92,51629.14,52779.89,54307.23,56031.66,57555.67,59258.42,61308.45,63080.74,63295.51,62194.73,61171.26,60119.51,60028.93,62440.82,65307.93,65871.36,64743.95,63696.89,63400.29,62794.43,61897.79,61826.29,61495.62,60445.35,58437.69,55512.61,53747.49,53550.71,54582.62,57012.45,59634.29,61531.4,63005.8,64884.72,68595.97,72435.95,76144.76,82054.07,86911.3,94198.9,103503.25,104606.19,103081.02,105306.27,107716.66,109802.74,111537.27,112390.55,114976.99,119710.25,123241.74,125949.75,129049.47,132460.11,135333.48,135552.5,134187.68,131999.49,128980.45,127751.47,128984.74,131960.72,135791.85,140584.21,145613.37,145815.53,141418.29,137031.65,133498.17,130668.03,128804.09,127945.27,127969.45,129071.01,130994.44,132793.95,133894.78,134592.5,135734,136828.62,137152.09,137740.31,139837.69,142625.91,144197.91,144603.86,144925.45,145815.4,146386.44,145836.74
"16",49090.39,50804.8,51929.11,53231.09,54982.85,56781.61,58356.08,60007.67,61781.97,63254.75,63269.94,62069.56,61071.66,60069.4,59978.96,62416.05,65333.21,65946.56,64793.5,63646.43,63300.28,62694.28,61797.81,61701.12,61345.63,60320.52,58387.96,55663.78,54223.94,54251.1,55307.43,57687.25,60233.9,62131.81,63731.43,65634.32,69220.4,72935.55,76594.83,82529.3,87386.12,94648.99,104028.97,105281.78,103962.88,106190.32,108227.41,110105.35,111943.07,113435.47,116522.06,120391.57,123017.42,125726.74,129009.92,132353.64,135005.86,135311.96,134186.28,132289.6,129684.52,128456.54,129411.06,132294.13,136226.06,141193.99,146334.24,146695.56,142458.03,138095.32,134371.31,131128.6,129085.97,128334.29,128631.4,129665.87,130977.11,132525.64,133957.11,135212.11,136766.24,137736.17,137820.76,138452.56,140834.05,143879.36,145518.87,145983.35,146354.04,147264.48,147948.38
"17",46991.93,49185.63,51104.73,52380.25,53957.12,55858.03,57681.64,59130.06,60506.41,62006.02,63279.18,63219.9,62019.54,60996.42,59994.65,59954.16,62416.1,65383.58,66021.3,64767.88,63521.28,63150.26,62544.37,61597.44,61451.14,61146,60271.38,58639.68,56340.64,55174.35,55200.62,56131.82,58336.48,60909.96,63057.86,64705.83,66458.73,69894.89,73535.56,77245.34,83153.71,87860.61,95149.95,104780.24,106349.31,105027.59,106808.64,108616.9,110623.43,112806.5,114537.34,117218.54,120462.88,122702.48,125317.52,128773.62,132145.25,134654.12,135144.18,134384.81,132782.65,130369.84,128960.65,129733.78,132766.86,136867.03,141953.47,147298.32,147845.47,143513.07,138904.26,134895.28,131460.98,129495.5,129006.21,129079.67,129460.86,130707.85,132703.88,134714.78,136353.43,137835.65,138676.24,138843.17,139712.71,142486.41,146107.3,147969.35,148096.73,148184.07,149121.86
"18",46058.83,47083.86,49460.35,51556.42,53206.74,54931.89,56808.04,58505.59,59653.61,60705.2,61980.44,63179.17,63119.88,61944.64,60971.58,59994.55,60004.53,62566.58,65533.1,66045.67,64692.63,63421.24,63025.09,62318.88,61297.44,61226.75,61071.61,60472.99,59342.15,57416.1,56273.92,56124.58,56805.81,59062.98,61961.23,64232.66,65755.04,67307.96,70695.44,74511.62,78244.67,83978.11,88761.92,96401.9,106398.29,107843.43,105957.07,107588.23,109621.46,111725.04,113829.43,115430.18,117954.4,120743.95,122411.63,124992.4,128823.62,132292.44,134655.86,135380.13,135129.71,133699.54,131112.36,129490.94,130252.35,133331.43,137465.29,142839.26,148442.92,148877.07,144117.87,139140.57,135130.89,131859.46,130159.73,129468.19,128803.86,129206.54,131178.81,134018.31,136549.86,138118.3,139476.17,140269.7,140467.75,142039,146305.48,150777.68,151951.38,151003.13,150771.92
"19",46083.49,46175.6,47408.64,49987.21,52482.84,54306.67,56057.06,57781.56,59078.71,59852.41,60679.7,61880.44,63079.17,63019.72,61844.57,60871.49,59919.73,60004.93,62616.72,65507.5,65870.05,64442.76,63196.55,62825.14,62093.69,61022.23,60951.97,61048.45,61101.5,60467.63,58540.38,57223.09,56823.33,57582.67,60289.83,63386.02,65431.04,66679.43,68384.81,72272.71,76134.8,79468.25,85229.79,90287.6,98058.19,107801.56,108725.09,106820.98,108747.28,110716.66,112759.49,115058.26,116641.81,118829.58,120959.8,122519.79,125615.3,129455.64,132676.68,135030.96,136182.43,136353.43,134802.91,132017.12,130326.42,131041.08,134112.15,138455.15,144251.11,149900.68,149891.28,144598.92,139433.47,135758.91,132982.71,131174.83,129730.25,128869.81,129902.42,132750.33,136112.94,138621.65,140082.77,141453.45,142477.27,143635.19,146912.13,152527.66,156776.21,156322.18,154268.39
